trial_id,x_0.000,y_0.000,x_0.010,y_0.010,x_0.020,y_0.020,x_0.030,y_0.030,x_0.040,y_0.040,x_0.050,y_0.050,x_0.060,y_0.060,x_0.070,y_0.070,x_0.080,y_0.080,x_0.090,y_0.090,x_0.100,y_0.100,x_0.110,y_0.110,x_0.120,y_0.120,x_0.130,y_0.130,x_0.140,y_0.140,x_0.150,y_0.150,x_0.160,y_0.160,x_0.170,y_0.170,x_0.180,y_0.180,x_0.190,y_0.190,x_0.200,y_0.200,x_0.210,y_0.210,x_0.220,y_0.220,x_0.230,y_0.230,x_0.240,y_0.240,x_0.250,y_0.250,x_0.260,y_0.260,x_0.270,y_0.270,x_0.280,y_0.280,x_0.290,y_0.290,x_0.300,y_0.300,x_0.310,y_0.310,x_0.320,y_0.320,x_0.330,y_0.330,x_0.340,y_0.340,x_0.350,y_0.350,x_0.360,y_0.360,x_0.370,y_0.370,x_0.380,y_0.380,x_0.390,y_0.390,x_0.400,y_0.400,x_0.410,y_0.410,x_0.420,y_0.420,x_0.430,y_0.430,x_0.440,y_0.440,x_0.450,y_0.450,x_0.460,y_0.460,x_0.470,y_0.470,x_0.480,y_0.480,x_0.490,y_0.490,x_0.500,y_0.500,x_0.510,y_0.510,x_0.520,y_0.520,x_0.530,y_0.530,x_0.540,y_0.540,x_0.550,y_0.550,x_0.560,y_0.560,x_0.570,y_0.570,x_0.580,y_0.580,x_0.590,y_0.590,x_0.600,y_0.600,x_0.610,y_0.610,x_0.620,y_0.620,x_0.630,y_0.630,x_0.640,y_0.640,x_0.650,y_0.650,x_0.660,y_0.660,x_0.670,y_0.670,x_0.680,y_0.680,x_0.690,y_0.690,x_0.700,y_0.700,x_0.710,y_0.710,x_0.720,y_0.720,x_0.730,y_0.730,x_0.740,y_0.740,x_0.750,y_0.750,x_0.760,y_0.760,x_0.770,y_0.770,x_0.780,y_0.780,x_0.790,y_0.790,x_0.800,y_0.800,x_0.810,y_0.810,x_0.820,y_0.820,x_0.830,y_0.830,x_0.840,y_0.840,x_0.850,y_0.850,x_0.860,y_0.860,x_0.870,y_0.870,x_0.880,y_0.880,x_0.890,y_0.890,x_0.900,y_0.900,x_0.910,y_0.910,x_0.920,y_0.920,x_0.930,y_0.930,x_0.940,y_0.940,x_0.950,y_0.950,x_0.960,y_0.960,x_0.970,y_0.970,x_0.980,y_0.980,x_0.990,y_0.990,x_1.000,y_1.000
1,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,654.000000,1015.000000,656.000000,1014.000000,663.000000,1013.000000,668.000000,1010.000000,684.000000,1009.000000,694.000000,1007.000000,701.000000,1004.000000,717.000000,1003.000000,728.000000,1002.000000,737.000000,1001.000000,753.000000,1000.000000,762.000000,997.000000,773.000000,996.000000,779.000000,995.000000,783.000000,995.000000,791.000000,994.000000,796.000000,994.000000,799.000000,993.000000,806.000000,993.000000,810.000000,992.000000,820.000000,992.000000,824.000000,992.000000,829.000000,990.000000,839.000000,990.000000,842.000000,988.000000,846.000000,988.000000,851.000000,988.000000,854.000000,987.000000,856.000000,987.000000,858.000000,987.000000,861.000000,986.000000,865.000000,986.000000,870.000000,986.000000,873.000000,985.000000,882.000000,985.000000,886.000000,985.000000,892.000000,985.000000,895.000000,985.000000,897.000000,985.000000,902.000000,985.000000,904.000000,985.000000,906.000000,985.000000,912.000000,985.000000,916.000000,985.000000,922.000000,985.000000,926.000000,985.000000,928.000000,985.000000,935.000000,985.000000,938.000000,985.000000,942.000000,985.000000,947.000000,985.000000,950.000000
2,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,244.000000,1091.000000,245.000000,1091.000000,245.000000,1091.000000,247.000000,1091.000000,249.000000,1091.000000,251.000000,1091.000000,257.000000,1091.000000,259.000000,1091.000000,261.000000,1091.000000,266.000000,1091.000000,269.000000,1091.000000,282.000000,1091.000000,293.000000,1091.000000,301.000000,1091.000000,321.000000,1092.000000,330.000000,1092.000000,338.000000,1093.000000,347.000000,1093.000000,350.000000,1093.000000,355.000000,1093.000000,357.000000,1093.000000,360.000000,1094.000000,369.000000,1094.000000,374.000000,1094.000000,382.000000,1094.000000,395.000000,1094.000000,405.000000,1094.000000,421.000000,1094.000000,425.000000,1094.000000,429.000000,1094.000000,433.000000,1094.000000,436.000000,1094.000000,438.000000,1094.000000,444.000000,1093.000000,447.000000,1093.000000,459.000000,1092.000000,466.000000,1091.000000,474.000000,1091.000000,485.000000,1090.000000,492.000000,1089.000000,499.000000,1089.000000,507.000000,1089.000000,511.000000,1089.000000,515.000000,1089.000000,517.000000,1089.000000,519.000000,1088.000000,521.000000,1088.000000,524.000000,1088.000000,526.000000,1087.000000,537.000000,1087.000000,544.000000,1087.000000,556.000000,1087.000000,559.000000,1087.000000,563.000000,1086.000000,569.000000,1086.000000,572.000000,1086.000000,576.000000,1086.000000,584.000000,1086.000000,590.000000,1086.000000,601.000000,1086.000000,606.000000,1085.000000,610.000000,1085.000000,620.000000,1085.000000,627.000000,1085.000000,635.000000,1083.000000,646.000000,1083.000000,651.000000,1082.000000,659.000000,1081.000000,662.000000,1081.000000,665.000000,1081.000000,674.000000,1081.000000,679.000000,1081.000000,683.000000,1081.000000,690.000000,1081.000000,694.000000,1081.000000,701.000000,1081.000000,704.000000,1081.000000,706.000000,1081.000000,711.000000,1081.000000,714.000000
3,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,238.000000,1116.000000,239.000000,1116.000000,239.000000,1116.000000,239.000000,1116.000000,239.000000,1116.000000,239.000000,1116.000000,239.000000,1116.000000,240.000000,1116.000000,240.000000,1116.000000,240.000000,1116.000000,241.000000,1116.000000,242.000000,1116.000000,243.000000,1116.000000,243.000000,1116.000000,245.000000,1116.000000,245.000000,1116.000000,246.000000,1116.000000,247.000000,1116.000000,247.000000,1116.000000,249.000000,1116.000000,250.000000,1116.000000,252.000000,1116.000000,253.000000,1116.000000,256.000000,1116.000000,257.000000,1116.000000,259.000000,1116.000000,261.000000,1116.000000,263.000000,1116.000000,265.000000,1116.000000,267.000000,1116.000000,270.000000,1116.000000,271.000000,1116.000000,272.000000,1116.000000,274.000000,1116.000000,276.000000,1116.000000,276.000000,1116.000000,279.000000,1116.000000,279.000000,1116.000000,282.000000,1116.000000,282.000000,1116.000000,283.000000,1116.000000,285.000000,1116.000000,287.000000,1116.000000,288.000000,1116.000000,290.000000,1116.000000,291.000000,1116.000000,293.000000,1116.000000,295.000000,1116.000000,296.000000,1116.000000,299.000000,1116.000000,301.000000,1115.000000,301.000000,1115.000000,303.000000,1114.000000,304.000000,1114.000000,309.000000,1114.000000,312.000000,1114.000000,316.000000,1114.000000,321.000000,1114.000000,324.000000,1114.000000,326.000000,1112.000000,329.000000,1112.000000,331.000000,1112.000000,332.000000,1112.000000,333.000000,1112.000000,333.000000,1112.000000,335.000000
