timestamp,x,y
1765522549.0096326,860,935
1765522549.0199895,860,935
1765522549.0304792,860,935
1765522549.040928,860,935
1765522549.0512452,860,935
1765522549.0617807,860,935
1765522549.071976,860,935
1765522549.08252,860,935
1765522549.0929155,860,935
1765522549.1037505,860,935
1765522549.1147084,860,935
1765522549.1248815,860,935
1765522549.1356208,860,935
1765522549.146173,860,935
1765522549.1566164,860,935
1765522549.1673024,860,935
1765522549.177625,860,935
1765522549.1878614,860,935
1765522549.1983528,860,935
1765522549.2085867,860,935
1765522549.2188802,860,935
1765522549.229329,860,935
1765522549.2398884,860,935
1765522549.2503393,860,935
1765522549.260507,860,935
1765522549.271131,860,935
1765522549.281525,860,935
1765522549.2917705,860,935
1765522549.3022454,860,935
1765522549.3126276,860,935
1765522549.3234043,860,935
1765522549.333644,860,935
1765522549.344114,860,935
1765522549.3546655,860,935
1765522549.3649647,860,935
1765522549.3754003,860,935
1765522549.3859837,860,935
1765522549.3967261,860,935
1765522549.4072323,860,935
1765522549.4178102,860,935
1765522549.4279807,860,935
1765522549.438217,860,935
1765522549.4486845,860,935
1765522549.4589798,860,935
1765522549.469233,860,935
1765522549.4799445,860,935
1765522549.4904075,860,935
1765522549.5009751,860,935
1765522549.5114524,860,935
1765522549.5219538,860,935
1765522549.5322394,860,935
1765522549.5426962,860,935
1765522549.5529792,860,935
1765522549.563258,860,935
1765522549.5734293,860,935
1765522549.5840178,860,935
1765522549.5942216,860,935
1765522549.6048899,860,935
1765522549.615361,860,935
1765522549.6255286,860,935
1765522549.6362536,860,935
1765522549.6467652,860,935
1765522549.657267,860,935
1765522549.6677473,860,935
1765522549.678048,860,935
1765522549.6883738,860,935
1765522549.6987402,860,935
1765522549.709072,860,935
1765522549.7195606,860,935
1765522549.7299168,860,935
1765522549.7404342,860,935
1765522549.751001,860,935
1765522549.7616045,860,935
1765522549.771823,860,935
1765522549.7824216,860,935
1765522549.7930408,860,935
1765522549.8036718,860,935
1765522549.8142774,860,935
1765522549.8247836,860,935
1765522549.834916,860,935
1765522549.8452923,860,935
1765522549.8557625,860,935
1765522549.8670692,860,935
1765522549.8776782,860,935
1765522549.8879235,860,935
1765522549.8983076,860,935
1765522549.909023,860,935
1765522549.9191947,860,935
1765522549.9299543,860,935
1765522549.9403934,860,935
1765522549.9510627,860,935
1765522549.9615939,860,935
1765522549.9721262,860,935
1765522549.9826891,860,935
1765522549.9932234,860,935
1765522550.0037954,860,935
1765522550.0140362,860,935
1765522550.0243835,860,935
1765522550.035112,860,935
1765522550.045747,860,935
1765522550.0571053,860,935
1765522550.0675836,860,935
1765522550.0776937,860,935
1765522550.0882792,860,935
1765522550.0988286,860,935
1765522550.1091182,860,935
1765522550.119562,860,935
1765522550.1303983,860,935
1765522550.1405926,860,935
1765522550.1507516,860,935
1765522550.1610432,860,935
1765522550.1712108,860,935
1765522550.1814327,860,935
1765522550.191795,860,935
1765522550.2023213,860,935
1765522550.2126887,860,935
1765522550.223049,860,935
1765522550.2335458,860,935
1765522550.2438195,860,935
1765522550.2541373,860,935
1765522550.2646112,860,935
1765522550.2750432,860,935
1765522550.285237,860,935
1765522550.295805,860,935
1765522550.305977,860,935
1765522550.3172371,860,935
1765522550.3278444,860,935
1765522550.338404,860,935
1765522550.3487647,860,935
1765522550.3593485,860,935
1765522550.3695314,860,935
1765522550.3802543,860,935
1765522550.390851,860,935
1765522550.4009914,860,935
1765522550.411427,860,935
1765522550.4218123,860,935
1765522550.432392,860,935
1765522550.4428957,860,935
1765522550.4534662,860,935
1765522550.463582,860,935
1765522550.4737582,860,935
1765522550.48409,860,935
1765522550.4942925,860,935
1765522550.5045989,860,935
1765522550.5151596,860,935
1765522550.5253513,860,935
1765522550.5357132,860,935
1765522550.5467734,860,935
1765522550.5569928,860,935
1765522550.5675364,860,935
1765522550.5780504,860,935
1765522550.5885587,860,935
1765522550.5989082,860,935
1765522550.6092327,860,935
1765522550.6195428,860,935
1765522550.6296437,860,935
1765522550.6402888,860,935
1765522550.6505315,860,935
1765522550.6609619,860,935
1765522550.671399,860,935
1765522550.6817014,860,935
1765522550.6921625,860,935
1765522550.7028043,860,935
1765522550.713287,860,935
1765522550.7235956,860,935
1765522550.733925,860,935
1765522550.7440896,860,935
1765522550.754198,860,935
1765522550.7645748,860,935
1765522550.7753243,860,935
1765522550.7854862,860,935
1765522550.796205,860,935
1765522550.806449,860,935
1765522550.8167174,860,935
1765522550.8270633,860,935
1765522550.8376966,860,935
1765522550.8479104,860,935
1765522550.8583503,860,935
1765522550.8689115,860,935
1765522550.8793638,860,935
1765522550.8900042,860,935
